,Company name Latin alphabet,BvD ID number,"DM
Full name","DM
UCI (Unique Contact Identifier)","DM
Current or previous","DM
Type of role","DM
Board, committee or department"
,,,Dr. Politikwissenchaft Manfred Bischoff,P039810700,Current,ExeB,Executive Board
,,,Mr Josep Pique Camps,P011142845,Current,ExeB,Executive Board
,,,Mr D.M.P. D' Hinnin,P199747084,Current,ExeB,Executive Board
,,,Mr Dominique Marie Philippe D'Hinnin,P051730348,Current,ExeB,Executive Board
,,,Doctor Thomas Enders,P038975450,Current,"ExeB,SenMan,OthDep",Executive Board; Senior management; Other or unspecified department
,,,Mr Louis Rene Fernand Gallois,P058762490,Current,"ExeB,SenMan,OthDep",Executive Board; Senior management; Other or unspecified department
,,,Prof. Dr.-Ing. Dr.-Ing. E. h. Hans-Peter Willi Keitel,P238497028,Current,ExeB,Executive Board
,,,Mr Arnaud Georges Andre Lagardere,P002802330,Current,ExeB,Executive Board
,,,Honorary Dr. Hermann-Josef Michael Lamberti,P158003076,Current,ExeB,Executive Board
,,,Ms Anne Marie Alice Lauvergeon,P003629103,Current,ExeB,Executive Board
,,,Mr Lakshmi Niwas Mittal,P004035854,Current,ExeB,Executive Board
,,,Sir John Thomas Parker,P296235395,Current,ExeB,Executive Board
,,,Mr Michel Jean Denis Pebereau,P003214706,Current,ExeB,Executive Board
,,,Mr Wilfried Porth,P014141132,Current,ExeB,Executive Board
,,,Mr Denis Georges Marie Ranque,P019370546,Current,ExeB,Executive Board
,,,Mr Jean Claude Trichet,P128796145,Current,ExeB,Executive Board
,,,Mr Juan Manuel Equiagaray Ucelay,P051500738,Current,ExeB,Executive Board
,,,Dipl.-Ing. Univ. Dominik Asam,P058699685,Current,ExeC,Executive Committee
,,,Dipl.-Ing. Univ. Dominik Asam,P058699685,Current,FinAcc,Finance & Accounting
,,,Mr Thierry Baril,P049029249,Current,ExeC,Executive Committee
,,,Mr Thierry Baril,P049029249,Current,HR,Human Resources (HR)
,,,Mr Antoine Francois Marie Bouvier,P409072811,Current,ExeC,Executive Committee
,,,Mr Antoine Francois Marie Bouvier,P409072811,Current,"Proc,GovAff",Purchasing & Procurement; Public & Government Affairs
,,,Mr Bruno Claude Even,P061440432,Current,ExeC,Executive Committee
,,,Mr Bruno Claude Even,P061440432,Current,OthDep,Other or unspecified department
,,,Mr Alberto Gutierrez,P042161911,Current,ExeC,Executive Committee
,,,Mr Alberto Gutierrez,P042161911,Current,Oper,Operations & Production & Manufacturing
,,,Mr John L Harrison III,P636182197,Current,ExeC,Executive Committee
,,,Mr John L Harrison III,P636182197,Current,LegDep,Legal/Compliance/Risk department
,,,Mr John L Harrison III,P636182197,Current,SpecPos,Other specific positions
,,,Ms Catherine Jestin,P695674276,Current,"ExeC,OthBC",Executive Committee; Other Board or Committee
,,,Ms Catherine Jestin,P695674276,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Ms Julie Catherine Mary Kitcher,P464319223,Current,ExeC,Executive Committee
,,,Ms Julie Catherine Mary Kitcher,P464319223,Current,"SenMan,MarkAdv",Senior management; Marketing & Advertising
,,,Ms Sabine Klauke,P468855904,Current,ExeC,Executive Committee
,,,Ms Sabine Klauke,P468855904,Current,R&D,Research & Development / Engineering
,,,Mr C. Jeffrey J Knittel,P370570324,Current,ExeC,Executive Committee
,,,Mr Philippe Andre Louis Jean-Claude Mhun,P452115795,Current,ExeC,Executive Committee
,,,Mr Philippe Andre Louis Jean-Claude Mhun,P452115795,Current,OthDep,Other or unspecified department
,,,Mr Christian Scherer,P373461419,Current,ExeC,Executive Committee
,,,Mr Christian Scherer,P373461419,Current,Sales,Sales & Retail
,,,Mr Christian Scherer,P373461419,Current,PMPMan,Product/Project/Market Management
,,,Dr. Michael Schoellhorn,P468855899,Current,ExeC,Executive Committee
,,,Dr. Michael Schoellhorn,P468855899,Current,SpecPos,Other specific positions
,,,Mr George Xu,P468855900,Current,ExeC,Executive Committee
,,,Mr George Xu,P468855900,Current,SpecPos,Other specific positions
,,,Mr Marc-Aurel Bischoff,P113129268,Current,Proxy,Proxyholders
,,,Mr Pierre Antoine Jean Marie Anne De Bausset Roquefort Duchaine d'Arbaud,P200268961,Current,Proxy,Proxyholders
,,,Ms Clarisse Helene Eliane Leonie Derre,P707254282,Current,Proxy,Proxyholders
,,,Dr John Conacher Harrison,P732555800,Current,Proxy,Proxyholders
,,,Ms Isabelle Susette Marie Rust,P086287019,Current,Proxy,Proxyholders
,,,Mr Wolfgang Michael Wilhelm,P350858614,Current,Proxy,Proxyholders
2.,AIRBUS,FR383474814,Mr Guillaume Marie Jean Dominique Faury,P058822076,Current,BoD,Board of Directors
,,,Mr Guillaume Marie Jean Dominique Faury,P058822076,Current,ExeC,Executive Committee
,,,Mr Guillaume Marie Jean Dominique Faury,P058822076,Current,SenMan,Senior management
,,,Mr C. Jeffrey J Knittel,P370570324,Current,BoD,Board of Directors
,,,Mr C. Jeffrey J Knittel,P370570324,Current,ExeC,Executive Committee
,,,Mr C. Jeffrey J Knittel,P370570324,Current,PMPMan,Product/Project/Market Management
,,,Mr Rene Richard Obermann,P014144573,Current,BoD,Board of Directors
,,,"Mr Lap Lik, Victor Chu",P014140427,Current,BoD,Board of Directors
,,,"Mr Lap Lik, Victor Chu",P014140427,Current,AudC,Audit Committee
,,,Mr Jean-Pierre Luc Clamadieu,P013664847,Current,BoD,Board of Directors
,,,Mr Jean-Pierre Luc Clamadieu,P013664847,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Mr Jean-Pierre Luc Clamadieu,P013664847,Current,OthDep,Other or unspecified department
,,,Jr. Ralph Dozier Crosby Jr.,P100868603,Current,BoD,Board of Directors
,,,Jr. Ralph Dozier Crosby Jr.,P100868603,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Doctor Lord Paul Rudd Drayson,P045735249,Current,BoD,Board of Directors
,,,Doctor Lord Paul Rudd Drayson,P045735249,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Doctor Lord Paul Rudd Drayson,P045735249,Current,OthDep,Other or unspecified department
,,,Mr Mark Beddows Dunkerley,P012726494,Current,BoD,Board of Directors
,,,Mr Mark Beddows Dunkerley,P012726494,Current,AudC,Audit Committee
,,,Mr Stephan Gemkow,P014141492,Current,BoD,Board of Directors
,,,Mr Stephan Gemkow,P014141492,Current,AudC,Audit Committee
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,BoD,Board of Directors
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,AudC,Audit Committee
,,,Ms Catherine Renee Anne Guillouard,P014402113,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Ms Maria Amparo Moraleda,P041182840,Current,BoD,Board of Directors
,,,Ms Maria Amparo Moraleda,P041182840,Current,"OthBC,LegDep",Other Board or Committee; Legal/Compliance/Risk department
,,,Ms Maria Amparo Moraleda,P041182840,Current,OthDep,Other or unspecified department
,,,Ms Claudia Nemat,P112272506,Current,BoD,Board of Directors
,,,Ms Claudia Nemat,P112272506,Current,OthDep,Other or unspecified department
,,,Mr Carlos Tavares,P014138300,Current,BoD,Board of Directors
,,,Dipl.-Ing. Univ. Dominik Asam,P058699685,Current,ExeC,Executive Committee
,,,Dipl.-Ing. Univ. Dominik Asam,P058699685,Current,SenMan,Senior management
,,,Dipl.-Ing. Univ. Dominik Asam,P058699685,Current,FinAcc,Finance & Accounting
,,,Mr Thierry Baril,P049029249,Current,ExeC,Executive Committee
,,,Mr Thierry Baril,P049029249,Current,SenMan,Senior management
,,,Mr Thierry Baril,P049029249,Current,HR,Human Resources (HR)
,,,Mr Antoine Francois Marie Bouvier,P409072811,Current,ExeC,Executive Committee
,,,Mr Antoine Francois Marie Bouvier,P409072811,Current,"Proc,GovAff",Purchasing & Procurement; Public & Government Affairs
,,,Mr Bruno Claude Even,P061440432,Current,ExeC,Executive Committee
,,,Mr Bruno Claude Even,P061440432,Current,SenMan,Senior management
,,,Mr Alberto Gutierrez,P042161911,Current,ExeC,Executive Committee
,,,Mr Alberto Gutierrez,P042161911,Current,SenMan,Senior management
,,,Mr Alberto Gutierrez,P042161911,Current,Oper,Operations & Production & Manufacturing
,,,Mr John L Harrison III,P636182197,Current,ExeC,Executive Committee
,,,Mr John L Harrison III,P636182197,Current,SenMan,Senior management
,,,Mr John L Harrison III,P636182197,Current,LegDep,Legal/Compliance/Risk department
,,,Ms Catherine Jestin,P695674276,Current,ExeC,Executive Committee
,,,Ms Catherine Jestin,P695674276,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Ms Julie Catherine Mary Kitcher,P464319223,Current,ExeC,Executive Committee
,,,Ms Julie Catherine Mary Kitcher,P464319223,Current,"SenMan,MarkAdv",Senior management; Marketing & Advertising
,,,Ms Sabine Klauke,P468855904,Current,ExeC,Executive Committee
,,,Ms Sabine Klauke,P468855904,Current,R&D,Research & Development / Engineering
,,,Mr Philippe Andre Louis Jean-Claude Mhun,P452115795,Current,ExeC,Executive Committee
,,,Mr Philippe Andre Louis Jean-Claude Mhun,P452115795,Current,OthDep,Other or unspecified department
,,,Mr Christian Scherer,P373461419,Current,ExeC,Executive Committee
,,,Mr Christian Scherer,P373461419,Current,Sales,Sales & Retail
,,,Mr Christian Scherer,P373461419,Current,PMPMan,Product/Project/Market Management
,,,Dr. Michael Schoellhorn,P468855899,Current,ExeC,Executive Committee
,,,Dr. Michael Schoellhorn,P468855899,Current,OthDep,Other or unspecified department
,,,Mr George Xu,P468855900,Current,ExeC,Executive Committee
,,,Mr George Xu,P468855900,Current,PMPMan,Product/Project/Market Management
,,,Ms Genevieve Bosquet,P436268126,Current,SenMan,Senior management
,,,Mr Benoit Defforge,P052307441,Current,SenMan,Senior management
,,,Ms Veronique Creissels,P080495304,Current,SenMan,Senior management
,,,Mr Olivier Masseret,P696592947,Current,SenMan,Senior management
,,,Mr Yann Barbaux,P051853147,Current,R&D,Research & Development / Engineering
3.,BAE SYSTEMS PLC,GB01470151,Sir Roger Martyn Carr,P004031761,Current,BoD,Board of Directors
,,,Sir Roger Martyn Carr,P004031761,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Sir Roger Martyn Carr,P004031761,Current,SenMan,Senior management
,,,Mr Nicholas (Nick) J Anderson,P109091766,Current,BoD,Board of Directors
,,,Mr Nicholas (Nick) J Anderson,P109091766,Current,OthDep,Other or unspecified department
,,,Mr Thomas Arnold Arseneault,P223146246,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Thomas Arnold Arseneault,P223146246,Current,ExeC,Executive Committee
,,,Mr Thomas Arnold Arseneault,P223146246,Current,OthDep,Other or unspecified department
,,,Mr Thomas Arnold Arseneault,P223146246,Current,SenMan,Senior management
,,,Ms Crystal E. Ashby,P697391404,Current,BoD,Board of Directors
,,,Ms Crystal E. Ashby,P697391404,Current,OthDep,Other or unspecified department
,,,Dame Dame Elizabeth Pauline Lucy Corley,P259846808,Current,BoD,Board of Directors
,,,Dame Dame Elizabeth Pauline Lucy Corley,P259846808,Current,OthDep,Other or unspecified department
,,,Mr Bradley Madsen Greve,P513538303,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Bradley Madsen Greve,P513538303,Current,ExeC,Executive Committee
,,,Mr Bradley Madsen Greve,P513538303,Current,FinAcc,Finance & Accounting
,,,Mr Bradley Madsen Greve,P513538303,Current,"SenMan,FinAcc",Senior management; Finance & Accounting
,,,Doctor Jane Veronica Griffiths,P037805901,Current,BoD,Board of Directors
,,,Doctor Jane Veronica Griffiths,P037805901,Current,OthDep,Other or unspecified department
,,,Mr Christopher Montague Grigg,P046967674,Current,BoD,Board of Directors
,,,Mr Christopher Montague Grigg,P046967674,Current,SenMan,Senior management
,,,Dr. Ewan Mckinnon Kirk,P005360872,Current,BoD,Board of Directors
,,,Dr. Ewan Mckinnon Kirk,P005360872,Current,OthDep,Other or unspecified department
,,,Mr Stephen Thomas Pearce,P216041145,Current,BoD,Board of Directors
,,,Mr Stephen Thomas Pearce,P216041145,Current,OthDep,Other or unspecified department
,,,Ms Nicole Weyerhaeuser Piasecki,P462081841,Current,BoD,Board of Directors
,,,Ms Nicole Weyerhaeuser Piasecki,P462081841,Current,OthDep,Other or unspecified department
,,,Dr. Charles Nicholas Woodburn,P074483544,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Dr. Charles Nicholas Woodburn,P074483544,Current,ExeC,Executive Committee
,,,Dr. Charles Nicholas Woodburn,P074483544,Current,"ExeC,SenMan",Executive Committee; Senior management
,,,Dr. Charles Nicholas Woodburn,P074483544,Current,SenMan,Senior management
,,,Mr David Iain Armstrong,P466773035,Current,ExeC,Executive Committee
,,,Mr David Iain Armstrong,P466773035,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Philip Bramwell,P367955438,Current,ExeC,Executive Committee
,,,Mr Philip Bramwell,P367955438,Current,LegDep,Legal/Compliance/Risk department
,,,Ms Gabrielle Anne Costigan,P207138079,Current,ExeC,Executive Committee
,,,Mr Julian Frederick Charles Cracknell,P368435576,Current,ExeC,Executive Committee
,,,Mr Julian Frederick Charles Cracknell,P368435576,Current,"ExeC,R&D,IT&IS",Executive Committee; Research & Development / Engineering; Information Technology (IT) & Information Systems (IS)
,,,Ms Tania Gandamihardja,P726866867,Current,ExeC,Executive Committee
,,,Ms Tania Gandamihardja,P726866867,Current,HR,Human Resources (HR)
,,,Mr Benjamin James Hudson,P239159744,Current,ExeC,Executive Committee
,,,Mr Benjamin James Hudson,P239159744,Current,PMPMan,Product/Project/Market Management
,,,Mr Glynn Stuart Phillips,P047678222,Current,ExeC,Executive Committee
,,,Mr Glynn Stuart Phillips,P047678222,Current,OthDep,Other or unspecified department
,,,Mr Mark John Phillips,P597138390,Current,ExeC,Executive Committee
,,,Mr Mark John Phillips,P597138390,Current,MarkAdv,Marketing & Advertising
,,,Mr Clifford Mark Robson,P112270701,Current,ExeC,Executive Committee
,,,Mr Clifford Mark Robson,P112270701,Current,OthDep,Other or unspecified department
,,,Mr David Stanley Parkes,P056980501,Current,SenMan,Senior management
,,,Ms Kristina Anderson,P726866868,Current,MarkAdv,Marketing & Advertising
,,,Ms Rachael Gordon,P726866871,Current,MarkAdv,Marketing & Advertising
,,,Mr Andrew McDowell,P726866869,Current,PMPMan,Product/Project/Market Management
,,,Ms Beth Neilson,P726866870,Current,OthDep,Other or unspecified department
,,,Dame Dame Carolyn Julie Fairbairn,P682492418,Current,OthDep,Other or unspecified department
,,,Mr Ian Paul Tyler,P138476098,Current,OthDep,Other or unspecified department
4.,SAFRAN,FR562082909,Mr Stephane Jean-Philippe Francois Cueille,P158239719,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Stephane Jean-Philippe Francois Cueille,P158239719,Current,"ExeC,R&D",Executive Committee; Research & Development / Engineering
,,,Mr Stephane Jean-Philippe Francois Cueille,P158239719,Current,OthDep,Other or unspecified department
,,,Mr Ross Lachlan Mc Innes,P041307625,Current,BoD,Board of Directors
,,,Mr Olivier Jacques Arthur Andries,P011646354,Current,BoD,Board of Directors
,,,Mr Olivier Jacques Arthur Andries,P011646354,Current,ExeC,Executive Committee
,,,Mr Olivier Jacques Arthur Andries,P011646354,Current,"ExeC,OthDep",Executive Committee; Other or unspecified department
,,,Mr Olivier Jacques Arthur Andries,P011646354,Current,SenMan,Senior management
,,,Ms Anne Aubert,P209201996,Current,BoD,Board of Directors
,,,Ms Anne Aubert,P209201996,Current,"PMPMan,Oper",Product/Project/Market Management; Operations & Production & Manufacturing
,,,Mr Marc Aubry,P420755657,Current,BoD,Board of Directors
,,,Mr Marc Aubry,P420755657,Current,"AudC,RiskC",Audit Committee; Risk Committee
,,,Ms Patricia Suzanne Bellinger,P438869581,Current,BoD,Board of Directors
,,,Ms Patricia Suzanne Bellinger,P438869581,Current,"RemC,NomC",Remuneration/Compensation Committee; Nomination Committee
,,,Ms Stephanie Besnier,P386565740,Current,BoD,Board of Directors
,,,Ms Stephanie Besnier,P386565740,Current,"AudC,RiskC",Audit Committee; Risk Committee
,,,Ms Stephanie Besnier,P386565740,Current,"RemC,NomC",Remuneration/Compensation Committee; Nomination Committee
,,,Ms Eliane Carre-Copin,P080322997,Current,BoD,Board of Directors
,,,Mr Herve Chaillou,P621892946,Current,BoD,Board of Directors
,,,Mr Herve Chaillou,P621892946,Current,R&D,Research & Development / Engineering
,,,Dr. Jean-Lou Chameau,P344697597,Current,BoD,Board of Directors
,,,Dr. Jean-Lou Chameau,P344697597,Current,"RemC,NomC",Remuneration/Compensation Committee; Nomination Committee
,,,Dr. Jean-Lou Chameau,P344697597,Current,R&D,Research & Development / Engineering
,,,Ms Ayache Monique Cohen,P002920775,Current,BoD,Board of Directors
,,,Ms Ayache Monique Cohen,P002920775,Current,"RemC,NomC",Remuneration/Compensation Committee; Nomination Committee
,,,Ms Odile Marie Anne Desforges,P065629129,Current,BoD,Board of Directors
,,,Mr Didier Domange,P038940581,Current,BoD,Board of Directors
,,,Mr Patrick Gandil,P143591279,Current,BoD,Board of Directors
,,,Mr Laurent Sylvain Alain Guillot,P052188807,Current,BoD,Board of Directors
,,,Mr Laurent Sylvain Alain Guillot,P052188807,Current,"AudC,RiskC",Audit Committee; Risk Committee
,,,Mr Laurent Sylvain Alain Guillot,P052188807,Current,R&D,Research & Development / Engineering
,,,Mr Vincent Imbert,P127519474,Current,BoD,Board of Directors
,,,Mr Vincent Imbert,P127519474,Current,R&D,Research & Development / Engineering
,,,Mr Alexandre Lahousse,P733647775,Current,BoD,Board of Directors
,,,Ms Fabienne Lecorvaisier,P052805668,Current,BoD,Board of Directors
,,,Ms Fabienne Lecorvaisier,P052805668,Current,"AudC,RiskC",Audit Committee; Risk Committee
,,,Ms Brigitte Lesschaeve,P357479084,Current,BoD,Board of Directors
,,,Mr Gerard Mardine,P206109943,Current,BoD,Board of Directors
,,,Mr Daniel Mazaltarim,P007113673,Current,BoD,Board of Directors
,,,Mr Daniel Mazaltarim,P007113673,Current,"RemC,NomC",Remuneration/Compensation Committee; Nomination Committee
,,,Ms Lucie Muniesa,P015646299,Current,BoD,Board of Directors
,,,"Mr Patrick, Jean-Michel Pelata",P038948282,Current,BoD,Board of Directors
,,,"Mr Patrick, Jean-Michel Pelata",P038948282,Current,"RemC,NomC",Remuneration/Compensation Committee; Nomination Committee
,,,"Mr Patrick, Jean-Michel Pelata",P038948282,Current,R&D,Research & Development / Engineering
,,,Mr Philippe Bernard Petitcolin,P012788723,Current,BoD,Board of Directors
,,,Mr Philippe Bernard Petitcolin,P012788723,Current,"ExeC,SenMan",Executive Committee; Senior management
,,,Mr Robert Peugeot,P002219855,Current,BoD,Board of Directors
,,,Mr Robert Peugeot,P002219855,Current,"AudC,RiskC",Audit Committee; Risk Committee
,,,Ms Helene Auriol Potier,P121247693,Current,BoD,Board of Directors
,,,Ms Helene Auriol Potier,P121247693,Current,"RemC,NomC",Remuneration/Compensation Committee; Nomination Committee
,,,Ms Helene Auriol Potier,P121247693,Current,R&D,Research & Development / Engineering
,,,Ms Sophie Zurquiyah,P236462007,Current,BoD,Board of Directors
,,,Ms Sophie Zurquiyah,P236462007,Current,"AudC,RiskC",Audit Committee; Risk Committee
,,,Ms Celeste Victoria Thomasson,P081519753,Current,"ExeC,SenMan",Executive Committee; Senior management
,,,Ms Celeste Victoria Thomasson,P081519753,Current,SenMan,Senior management
,,,Mr Stephane Abrial,P161359647,Current,ExeC,Executive Committee
,,,Mr Stephane Abrial,P161359647,Current,SenMan,Senior management
,,,Mr Jean-Luc Berard,P075044595,Current,ExeC,Executive Committee
,,,Mr Jean-Luc Berard,P075044595,Current,HR,Human Resources (HR)
,,,Ms Pascale Dubois,P238163665,Current,ExeC,Executive Committee
,,,Mr Jean Jacques Orsini,P049466066,Current,ExeC,Executive Committee
,,,Mr Jean Jacques Orsini,P049466066,Current,SenMan,Senior management
,,,Mr Jean-Paul Daniel Alary,P048876896,Current,ExeC,Executive Committee
,,,Mr Jean-Paul Daniel Alary,P048876896,Current,"ExeC,SenMan,IT&IS",Executive Committee; Senior management; Information Technology (IT) & Information Systems (IS)
,,,Mr Jean-Paul Daniel Alary,P048876896,Current,OthDep,Other or unspecified department
,,,Mr Pascal Bantegnie,P113842092,Current,ExeC,Executive Committee
,,,Mr Pascal Bantegnie,P113842092,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,"Mr Vincent Jean, Rene Caro",P111287964,Current,ExeC,Executive Committee
,,,"Mr Vincent Jean, Rene Caro",P111287964,Current,OthDep,Other or unspecified department
,,,Mr Eric Dalbies,P294212784,Current,ExeC,Executive Committee
,,,Mr Eric Dalbies,P294212784,Current,SenMan,Senior management
,,,Mr Eric Dalbies,P294212784,Current,R&D,Research & Development / Engineering
,,,Mr Eric Dalbies,P294212784,Current,SpecPos,Other specific positions
,,,Mr Stephane Dubois,P636630070,Current,ExeC,Executive Committee
,,,Mr Stephane Dubois,P636630070,Current,OthDep,Other or unspecified department
,,,Mr Cedric Gilles Goubet,P127241284,Current,ExeC,Executive Committee
,,,Mr Cedric Gilles Goubet,P127241284,Current,"ExeC,OthDep",Executive Committee; Other or unspecified department
,,,Mr Cedric Gilles Goubet,P127241284,Current,OthDep,Other or unspecified department
,,,Ms Marjolaine Grange,P273209324,Current,ExeC,Executive Committee
,,,Ms Marjolaine Grange,P273209324,Current,Proc,Purchasing & Procurement
,,,Mr Vincent Mascre,P049318523,Current,ExeC,Executive Committee
,,,Mr Vincent Mascre,P049318523,Current,OthDep,Other or unspecified department
,,,Ms Kate Philipps,P337524722,Current,ExeC,Executive Committee
,,,Ms Kate Philipps,P337524722,Current,SenMan,Senior management
,,,Ms Kate Philipps,P337524722,Current,MarkAdv,Marketing & Advertising
,,,Mr Jorge Ortega Rodriguez,P430748188,Current,ExeC,Executive Committee
,,,Mr Jorge Ortega Rodriguez,P430748188,Current,OthDep,Other or unspecified department
,,,Mr Franck Philippe Saudo,P238650904,Current,ExeC,Executive Committee
,,,Mr Franck Philippe Saudo,P238650904,Current,"ExeC,OthDep",Executive Committee; Other or unspecified department
,,,Mr Franck Philippe Saudo,P238650904,Current,OthDep,Other or unspecified department
,,,Mr Martin Sion,P129249071,Current,ExeC,Executive Committee
,,,Mr Martin Sion,P129249071,Current,"ExeC,OthDep",Executive Committee; Other or unspecified department
,,,Mr Martin Sion,P129249071,Current,OthDep,Other or unspecified department
,,,Ms Karine Berangere Stamens,P280420196,Current,ExeC,Executive Committee
,,,Ms Karine Berangere Stamens,P280420196,Current,OthBC,Other Board or Committee
,,,Ms Karine Berangere Stamens,P280420196,Current,SenMan,Senior management
,,,Ms Karine Berangere Stamens,P280420196,Current,SenMan,Senior management
,,,Mr Frederic Verger,P052865998,Current,ExeC,Executive Committee
,,,Mr Frederic Verger,P052865998,Current,SenMan,Senior management
,,,Mr Frederic Verger,P052865998,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Sebastien Weber,P300038668,Current,ExeC,Executive Committee
,,,Mr Sebastien Weber,P300038668,Current,OthDep,Other or unspecified department
,,,Mr Alexandre Guillaume Roger Ziegler,P521098586,Current,ExeC,Executive Committee
,,,Mr Alexandre Guillaume Roger Ziegler,P521098586,Current,GovAff,Public & Government Affairs
,,,Mr Bernard Delpit,P060813993,Current,"ExeC,FinAcc",Executive Committee; Finance & Accounting
,,,Mr Bernard Delpit,P060813993,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Mr Alain Sauret,P012788739,Current,"ExeC,Oper",Executive Committee; Operations & Production & Manufacturing
,,,Mr Francis Baeny,P080929548,Current,SenMan,Senior management
,,,Mr Bruno Christophe Bellanger,P437007416,Current,SenMan,Senior management
,,,Mr Joel Pierre Berkoukchi,P048201583,Current,SenMan,Senior management
,,,Mr Renaud Blech,P438548990,Current,SenMan,Senior management
,,,Mr Joseph Bogosian,P436001862,Current,SenMan,Senior management
,,,Mr Gilles Bouctot,P019348210,Current,SenMan,Senior management
,,,Mr Jean-Francois Cortequisse,P444779320,Current,SenMan,Senior management
,,,Mr Jean Christophe Dalla Toffola,P044588549,Current,SenMan,Senior management
